Article Content,Category
"Join 700,000+ CB Insights newsletter readers",Companies Working on Autonomous Cars
"Beyond trendy names like Tesla and Alphabet chasing self-driving cars, a host of auto brands and other tech heavyweights are also investing in autonomous R&D.",Companies Working on Autonomous Cars
Start your free trial today,Companies Working on Autonomous Cars
Start your free trial today,Companies Working on Autonomous Cars
"Private companies working in auto tech are attracting record levels of deals and funding, with autonomous driving startups leading the charge.",Companies Working on Autonomous Cars
"Along with early-stage startups, VCs, and other investors, large corporations are also angling to get a slice of the self-driving pie.",Companies Working on Autonomous Cars
"Using CB Insights’ investment, acquisition, and partnership data, we identified over 40 companies developing road-going self-driving vehicles. They are a diverse group of players, ranging from automotive industry stalwarts to leading technology brands and telecommunications companies.",Companies Working on Autonomous Cars
This list is organized alphabetically and focuses on larger corporate players in the space (as opposed to earlier-stage startups). Companies working on industrial fully autonomous vehicles were not included in this analysis.,Companies Working on Autonomous Cars
"A few of the companies or brands listed below belong to the same parent organization but are detailed separately if they are operating distinct autonomous development programs. Some companies are grouped together by key partnerships or alliances. Given the complex web of relationships between these players, other collaborations are also noted in each profile.",Companies Working on Autonomous Cars
This is not intended to be an exhaustive list of corporations working on autonomous vehicle technology.,Companies Working on Autonomous Cars
"This brief was originally published on 9/25/2015 and featured 25 select corporations. It was updated and expanded on 5/17/2017, 9/4/2018, 8/28/2019, 3/4/20, and 12/16/20.",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"Over the last decade, Amazon has spent billions of dollars working on finding ever-better solutions to the last-mile problem in delivery. It’s built its own fleet of cargo jets, explored delivery by drone in the form of “Prime Air,” and more. More recently, an increasing percentage of that investment has been directed toward autonomous vehicle technology.",Companies Working on Autonomous Cars
"In September 2019, Amazon said that it planned to put 100,000 electric delivery vehicles on the road by 2030, with deliveries starting as soon as 2021. The US technology giant plans to buy these vehicles from Rivian, an electric automaker in which Amazon has invested $440M. Amazon revealed a prototype of these delivery vehicles in January 2020.",Companies Working on Autonomous Cars
"Amazon’s investment in Rivian came on the heels of its deal in February 2019 with Aurora Innovation, an autonomous tech startup run by former Google and Tesla executives that pioneered autonomous driving teams at both giants.",Companies Working on Autonomous Cars
An Amazon company spokesperson told Wired about the investment:,Companies Working on Autonomous Cars
"“Autonomous technology has the potential to help make the jobs of our employees and partners safer and more productive, whether it’s in a fulfillment center or on the road, and we’re excited about the possibilities.”",Companies Working on Autonomous Cars
"The Rivian and Aurora investments aren’t the only autonomous technology play that Amazon is pursuing. In January 2019, the company introduced the Amazon Scout, a 6-wheeled electric-powered delivery robot. These robots are currently making deliveries in a Washington neighborhood and in Southern California’s Irvine area during daylight hours, Monday through Friday, under the supervision of a human associate. In July 2020, the project expanded its geographical coverage. Amazon’s delivery robots will now serve select customers in Franklin, Tennessee and Atlanta, Georgia.",Companies Working on Autonomous Cars
"Additionally, in June 2020, Amazon announced plans to acquire Zoox, a startup developing autonomous driving tech geared toward ride-hailing customers. This $1.2B deal provides the e-commerce giant with access to software, AI, and a full-stack self-driving solution. Backed by Amazon, Zoox is now better equipped to take on its primary rival, Waymo, an Alphabet subsidiary. In December 2020, Zoox unveiled its fully autonomous, electric robotaxi, which can seat 4 passengers and reach speeds of up to 75 mph. The vehicle is currently in testing.",Companies Working on Autonomous Cars
"For Amazon, these developments are years in the making.",Companies Working on Autonomous Cars
