Article Content,Category
"The term ‘autopilot’ has been used for decades within the aircraft industry, enabling pilots to reduce their cognitive load by allowing an aircraft to practically fly itself during “cruising” portions of the trip. The same is now happening as cars with autopilot are rapidly turning into more autonomous, self-driving vehicles, allowing drivers to let the cars drive themselves on certain portions of the trip, like freeways.",Autonomous Cars
"Tesla most famously branded its self-driving features as “Autopilot”, but many other automakers are now including similar self-driving and autonomous vehicle features as part of their driving assistance option packages. ",Autonomous Cars
"This article provides a breakdown of cars with autopilot and who offers what, but first, we’ll go through a bit of background and explanation of terms.",Autonomous Cars
"First, let’s define exactly what constitutes ‘autopilot’-like features. Autonomous systems in cars and self-driving vehicles can take many different forms, from basic driver assistance features, like cruise control, to semi-autonomous, all the way to full self-driving capabilities. The industry even has a set of levels to help classify this automation.",Autonomous Cars
Learn more about this by reading our article on SAE self-driving levels for cars and autonomous vehicles.,Autonomous Cars
"Autopilot is a generic term used in multiple industries, particularly aircraft, and generally means that something can guide itself without human intervention.  In relation to cars in 2021, most mainstream carmakers are focused on, Level 2 autonomy. This level allows the vehicle to take over most steering, acceleration and braking functions, but still requires that the driver remain fully attentive to the driving situation and be able to intervene at any moment. It is not driverless, fully autonomous driving, like robotaxis from Waymo or Cruise (that are now testing in California).",Autonomous Cars
"That means, today, autopilot really means ‘assisted driving’ and not ‘self-driving’ since the driver still has to be alert and attentive at all times.  It won’t be until Level 4 or Level 5 fully autonomous cars hit the roads that the true promise of full self-driving will be a reality. Currently, that’s not expected to happen until 2022 (although the team at Tesla is pushing hard to do so as soon as possible, as announced at Tesla Autonomy Day, since all new cars sold with Hardware 3 are much more powerful).",Autonomous Cars
Learn more about autonomous Full Self-Driving capabilities that Tesla currently includes today.,Autonomous Cars
Core AutoPilot Features,Autonomous Cars
"At minimum, we define autopilot (Level 2) to include the following features for use on freeways and highways with “controlled access” (i.e., they have on-ramps and off-ramps and no-cross traffic intersections):",Autonomous Cars
"Other autopilot features that are useful, but not critical for the ‘autopilot’ designation, are:",Autonomous Cars
Presently only Tesla is able to achieve the additional three mentioned above with their Full Self-Driving and Enhanced Autopilot options on ‘Hardware 2’ vehicles.,Autonomous Cars
Isn’t This Just Automated Cruise Control with Lane Centering?,Autonomous Cars
"If you step back and look at the core of what’s being provided, we’re really talking about automated cruise control with the ability to steer itself (keep the vehicle centered in the lane).  However, the second part (steering) is critical and one of the most difficult tasks, which we’ll explain below.",Autonomous Cars
Lane Keeping Assist vs Automated Lane Centering (steering),Autonomous Cars
"One of the most confusing aspects of choosing a good autopilot system is understanding the difference between what’s often called “Lane Keeping Assist” (LKA) and automated steering where the system is actually keeping the car centered at all times with no driver input (other than hands on the wheel, if the system requires it). ",Autonomous Cars
"Almost all major car companies have some sort of LKA functionality, however, that usually means helping to move the vehicle back to the center of the lane if it drifts.  Some systems are robust enough where you could keep your hands off the wheel for a short period of time so it feels like automated steering to a certain degree.",Autonomous Cars
"In reality, the future systems will be ones that can accurately identify the road and combine that with map data to ensure the car can steer itself on the road as good or better than a human driver.  So far, only Tesla and GM’s Super Cruise are able to do that, but only in certain conditions (e.g. the road only has mild curves).",Autonomous Cars
"The bottom line is, if you see “Lane Keeping Assist”, be sure to dig into that feature and test drive it on the freeway to understand whether it automatically keeps the system centered in the lane automatically, and how well it does it.  The last thing you want is a false sense of security and have the car drift into another lane or off the road.",Autonomous Cars
What About Basic Safety Features?,Autonomous Cars
"Most all cars that have autopilot-like features, also have fairly common automated safety systems included, called Advanced Driver Assistance Systems (ADAS) within the industry. These core safety features include:",Autonomous Cars
All these features are “must-have” today and you should double check to ensure they are included with your vehicle and package options.,Autonomous Cars
"Historically, most auto-manufacturers have relied on Original Equipment Manufacturers (OEMs), like Mobileye, Delphi and Bosch, etc. to provide autopilot parts and technologies for their cars, including things like navigation systems.  This allows the auto manufacturers to concentrate on developing and marketing the core cars themselves while other companies focus on specialized parts and technology.",Autonomous Cars
"Mobileye, which was purchased by Intel, is arguably the leading OEM in providing autopilot technology, via their EyeQ line of visual perception chips, to auto manufacturers. They famously provided Autopilot technology for the first-generation Tesla Model S vehicles that came with Enhanced Autopilot. Later, Tesla began to develop its own technology as Elon Musk wanted to push autonomous driving technology faster.  Mobileye previously focused on perception technology (i.e. identifying objects) with its EyeQ chips and it was up to the manufacturers to integrate driving control hardware and software but now Mobileye is also beginning to offer “full-stack” autopilot solutions.  Today Mobileye is providing autopilot-like technology to manufacturers such as Audi, BMW and Nissan via their EyeQ 4 and EyeQ 5 chipsets.  ",Autonomous Cars
"NVIDIA is close behind Mobileye in developing autopilot features.  In fact, their latest ADAS system is termed “Autopilot” (see this article).  NVIDIA comes from a gaming / AI chipset development background and rightfully believes that more powerful AI-like system will be required in cars to achieve reliable full-self driving.  They are supplying solutions to Volvo and Mercedes for their future vehicles.",Autonomous Cars
"Other startups and companies, like Cruise (GM), Aurora, Argo and Zoox (now Amazon) are also gaining momentum, but are primarily focused on robo-taxis and are in testing phases rather than large-scale rollouts.",Autonomous Cars
"That said, many car manufacturers are developing their own technology as they feel it’s critical as a future differentiator. Tesla is most famous in this regard, having created a sophisticated Autopilot system using a neural network based on cameras.  Toyota, Honda and Subaru have also created their own systems.  ",Autonomous Cars
"Why does it matter? Generally speaking, dedicated OEMs like Mobileye can innovate faster than auto manufacturers. However, some auto manufacturers like Tesla are innovating so quickly that they push over-the-air software updates to their cars, just like your smartphone. Most traditional auto manufacturers don’t update software, requiring you to purchase a new model year instead.",Autonomous Cars
"Regardless, all manufacturers are beholden to regulatory approval before bringing new autonomous driving technology to the market. ",Autonomous Cars
"For those automotive enthusiasts and tech-savvy tinkerers who want cutting-edge autopilot features, there is another solution from comma.ai using the open-source openpilot software.  This taps into newer-model vehicles with autopilot, like the ones below, but supercharges them with advanced machine learning and neural network capabilities.",Autonomous Cars
Learn more about the Comma.ai openpilot solution and even check out the openpilot vs Tesla Autopilot to see how they compare.,Autonomous Cars
"Most auto manufacturers claim to have some sort of self-driving capability, whether it’s basic Adaptive Cruise Control or Lane Keeping Assist, or a combination of both.  However, simply having those features doesn’t mean they work well. ",Autonomous Cars
These are generally the most important criteria for autopilot functionality:,Autonomous Cars
"While we have not personally tested each system, the criteria above are what we watch out for in reviews and videos to understand how well each autopilot system performs.",Autonomous Cars
"While there are many ‘autopilot’-like systems available from car manufacturers today, they are generally a combination of Adaptive Cruise Control (ACC) and Lane Keeping Assist (LKA). As mentioned previously LKA by itself only nudges a car back to the center of the lane, but does not keep it centered.",Autonomous Cars
The cars below are ones that are generally considered the top cars with autopilot and do a good job automatically keeping a car centered in the lane.,Autonomous Cars
Top Cars with AutoPilot features for 2021:,Autonomous Cars
"We go into more detail on each one below, so read on.",Autonomous Cars
"Overview:Tesla has long been a leader in terms of autopilot functionality in cars, even calling their system ‘Autopilot’. Not only is their system one of the most sophisticated and accurate on the road, but it’s also continually updated over-the-air (just like your smartphone), so the vehicles just keep getting better and better. The biggest downside is that driver monitoring only uses steering wheel inputs to determine whether the driver is paying attention vs facial monitoring, for example.",Autonomous Cars
"What It’s Called:Autopilot and Full-Self Driving options. For more information, read our detailed review on Tesla Autopilot and Full Self-Driving options. ",Autonomous Cars
"Technology Used:Tesla uses eight cameras around the vehicle for a full 360 view, plus a front-facing radar and long-range ultrasonic sensors. It uses a powerful machine learning computer (called the Full Self-Driving Computer, aka Hardware 3) which began rolling out in early 2019.",Autonomous Cars
"Supported Models: All current Tesla vehicles (the Tesla Model S, Model X and Model 3) all support Autopilot and Full Self-Driving features as an option, AP2 and above.  Older Tesla models (pre-2016) with AP1 have an older version of Autopilot that doesn’t have all the current features.",Autonomous Cars
Core Features:,Autonomous Cars
"Verdict:The best of the best in terms of functionality, especially with the Full Self-Driving package that includes the ability to work on city streets and respond to traffic controls and has the Navigate-on-Autopilot feature, that automatically routes the vehicle on closed-access freeway systems (on-ramp to off-ramp).  Tesla continually updates Autopilot with powerful features rolling out all the time. However it’s so powerful it can be used almost anywhere, meaning it’s up to the driver to pay attention and use it properly as driver monitoring is only via the steering wheel.",Autonomous Cars
"Overview:General Motors is arguably one of the top innovators in self-driving technology, having launched its highly-regarded Super Cruise technology on the Cadillac CT6 and with its work on Cruise, a subdivision of GM, working on creating fully-self driving fleet vehicles (like taxis).  The new Chevy Bolt also has a more limited version of Super Cruise.",Autonomous Cars
What It’s Called:Super Cruise,Autonomous Cars
"Technology Used:Super Cruise packages a variety of technology from suppliers including Intel’s Mobileye platform, Trimble RTX for positioning, forward facing cameras, side cameras, radar plus an internal camera from FOVIO for eye tracking. ",Autonomous Cars
"Supported Models:Cadillac CT6, 2021 Cadillac Escalade, 2021 Chevy Bolt (limited version)",Autonomous Cars
Core Features:,Autonomous Cars
"Verdict:The Super Cruise system at or right behind Tesla Autopilot in our opinion.  While Tesla Autopilot is more powerful and sophisticated, the Super Cruise system is better suited to everyday drivers since it restricts use to freeways it has mapped in the US (most major ones) and strictly monitors driver attentiveness using eye-tracking, therefore limiting mistakes that can be made by drivers, particularly older drivers (Cadillac’s primary demographic).  The driver monitoring system is one of the reasons why Consumer Reports gives it the highest rating, even about Tesla’s Autopilot system. ",Autonomous Cars
"Overview:The Volkswagen Group is the parent company of several brands, including VW, Audi, and Porsche. Audi has recently made aggressive moves into self-driving, including touting a Level 3 system in Europe which is unfortunately not yet in the US due to regulatory concerns. So, for now autopilot functions in Audi are similar to others.",Autonomous Cars
"What It’s Called:Active Lane Assist with Stop & Go (for higher speeds) and Traffic Jam Assist (for lower speeds).  The future, Level 3, version that will be hands-off in speeds under 37 MPH, will be called “Traffic Jam Pilot”. It’s currently available in some other countries, but not yet in the US.  There’s also a system called “Adaptive Drive Assist” for foreign markets.",Autonomous Cars
"Technology Used:Audi has recently made aggressive moves into self-driving, including the first Lidar unit in a consumer vehicle, the A8 (and now the A6 and Q8), in addition to its new zFAS controller that integrates sensor inputs into a single computing unit. They also work with Mobileye (EyeQ 4 chips) for perception inputs.",Autonomous Cars
"Supported Models: Audi A8, A6 and Q8",Autonomous Cars
Core Features:,Autonomous Cars
"Verdict:While Audi has been aggressively diving into advanced autonomous technologies, it hasn’t yet translated into a usable product for the US that’s anything beyond what other companies currently offer.",Autonomous Cars
"Overview:BMW has long had adaptive cruise control with rudimentary lane center, but with certain 2019 models, they are rolling out new technology. The system is not updated over the air and must be taken into the dealer for updates.",Autonomous Cars
What It’s Called:Driving Assistant Pro with Extended Traffic Jam Assistant,Autonomous Cars
"Technology Used:BMW utilizes the Mobileye EyeQ platform in the Driving Assistant package with control software from ZF, and on the newest models, the EyeQ 4 chip with a tri-focal camera set looking forward. It also has forward and rear radar sensors.  With some options, it also includes an eye monitoring camera.",Autonomous Cars
"Supported Models: Available on select models, including BMW X5 7 and 3 series.",Autonomous Cars
Core Features:,Autonomous Cars
"Verdict:The BMW system is loaded with features but its lane centering (crucial for autopilot), leaves something to be desired and isn’t nearly as robust as Tesla’s during our tests.  That said, at low speeds (under 40mph) in freeway traffic, the hands-free option (using eye-monitoring) is a nice option.",Autonomous Cars
"Overview:Ford offers basic driver assistance with many of its current vehicles, like the Ford Explorer, called Co-Pilot 360, which includes basic stop-and-go Adaptive Cruise Control (ACC) with basic Automatic Lane Centering (ALC) and Lane Keeping Assist (LKA).  However, where things really get interesting will be with the upcoming Ford Co-Pilot 360 2.0, now called “BlueCruise” coming later in 2021 on the 2021 Mach-E and the 2021 Ford F-150.  This will include more advanced, Tesla-like Autopilot capabilities. ",Autonomous Cars
"What It’s Called:Co-Pilot 360 – today’s basic system with ACC, LC and LKA functions.Co-Pilot 360 Plus – Lincoln’s version upgraded slightly.Co-Pilot 360 2.0 (BlueCruise) – coming later in 2021 with optional Active Driver Assist that includes more sophisticated Autopilot-like features and requires a subscription.",Autonomous Cars
Technology Used:Ford has partnered with Mobileye and utilizes the Mobileye EyeQ technology components. ,Autonomous Cars
Supported Models:2020 vehicles like the Ford Explorer and Lincoln Aviator that include the Co-Pilot 360 options have today’s basic driver assistance.  The newer Co-Pilot 360 2.0 with Active Driver Assist will be coming out later in 2021 on the Mach-E and Ford F-150 and will have more robust Tesla Autopilot-like features.,Autonomous Cars
Core Features:,Autonomous Cars
"Verdict:Overall the Ford / Lincoln Co-Pilot 360 system as it stands today is a very capable Autopilot system. While the Lane Centering won’t handle sharp turns, it does a great job on primarily straight roads with gentle curves.  This system will definitely help with long commutes and freeway driving.  The next version, Co-Pilot 360 2.0 / “BlueCruise”, coming with the Mach-E and Ford F-150 later in 2021 should be one to watch.",Autonomous Cars
"Overview:The Hyundai Motor Group and Kia Motors are jointly owned entities that produce distinct but similar vehicles using common platforms and parts. In 2019 Hyundai invested in self-driving startup Aurora, but that technology has not made it to public release yet.  Currently, Kia and Hyundai offer Level 2 technology in some of their 2020 vehicles that is best-in-class outside of advanced systems like Tesla and GM Supercruise.",Autonomous Cars
"What It’s Called:Lane Following Assist (LFA) and  Smart Cruise Control w/ Stop and Go (SCC)Highway Drive Assist (HDA) combines LFA and SCC, plus automatically adjust to speed limits",Autonomous Cars
"Technology Used:Currently Hyundai / Kia used an in-house technology called HDA2 (Highway Driving Assist), but may in the future leverage technology from the Aurora investment.  They also have worked with Intel / Mobileye in the past as well and likely use their EyeQ sensors.",Autonomous Cars
"Supported Models:Hyundai Palisade, Sonata, Kia Telluride, plus others.",Autonomous Cars
Core Features:,Autonomous Cars
"Verdict:The Hyundai and Kia Level 2 driving-assist implementations are incredibly impressive and have gotten very positive reviews so far, with many people comparing it favorably to Tesla’s Autopilot, at least as far as basic adaptive cruise control and lane centering is concerned (although it can not handle sharp turns). For someone looking for a system to take the edge of the daily commute, it’s worth considering.",Autonomous Cars
"Overview:Volvo has always been a leader in safety technology and was one of the first companies to bring advanced safety systems and lane centering to its full lineup of vehicles. They recently have had some self-driving setbacks as they’ve decided to switch platforms, delaying more sophisticated autopilot-like features.",Autonomous Cars
What It’s Called:Pilot Assist (the latest version is technically Pilot Assist II)Future 2022 version will be called “Highway Assist”,Autonomous Cars
"Technology Used:Volvo currently leverages the Mobileye EyeQ 3 platform and has a front-facing camera and radar (Delphi’s RaCAM – Radar and Camera Sensor Fusion System, that sits on the windshield).  In the future with “Highway Assist” in 2022, they plan to switch from Mobileye to the NVIDIA Orin chipset and incorporate front-facing LiDAR as well with the help of Zenseact on the software side. ",Autonomous Cars
Supported Models: All Volvo models including XC90 / XC60 / XC40 and sedans.,Autonomous Cars
Core Features:,Autonomous Cars
"Verdict:Volvo’s Pilot Assist II is only fair when it comes to autopilot quality. It’s helpful in straight stop-and-go traffic, but we wouldn’t trust the driving to Pilot Assist on roads with curves as it has challenges staying in the lanes.",Autonomous Cars
"Overview:Mercedes actually helped pioneer adaptive cruise control in the late 1990s with it’s high-end S-class sedan.  As a luxury car provider, Mercedes has continually ensured that it’s vehicles have the latest technology available, but has been a bit behind lately in advancing autopilot features.",Autonomous Cars
"What It’s Called:Driver Assistance Package PLUS package that includes options like Active Distance Assist DISTRONIC, Active Steering Assist, Active Lane Keeping Assist and Active Lane Change Assist.",Autonomous Cars
Technology Used:Mercedes works with Bosch and NVIDIA to power its systems via a combination of camera and radar inputs.,Autonomous Cars
Supported Models: E-Class and S-Class sedans,Autonomous Cars
Core Features:,Autonomous Cars
"Verdict:The Mercedes system does a fair job with autopilot functionality and nicely ties map data to the driving system, for example, helping to slow the vehicle around bends as needed.",Autonomous Cars
Overview:Nissan and Infiniti have come a long way in bringing practical safety and self-driving technology to the masses. It’s Nissan ProPilot is available on lower-end models such as the Nissan Rogue.,Autonomous Cars
What It’s Called:ProPilot Assist,Autonomous Cars
"Technology Used:Nissan / Infiniti use the Mobileye EyeQ platform, leveraging forward camera and radar inputs.",Autonomous Cars
Supported Models: Nissan Rogue and Nissan LEAFInfiniti QX50,Autonomous Cars
Core Features:,Autonomous Cars
"Verdict:Nissan and Infiniti’s ProPilot system does an admiral job brining basic autopilot features to the masses.  Automated lane centering is just fair.  Nissan announced ProPILOT 2.0 for Japan, which is much more advanced, but is unclear when it will come to the US at this point.",Autonomous Cars
"Toyota has the Toyota Safety Sense (TSS) system, the latest version being TSS 2.0.  Lexus calls its system the Lexus Safety System (LSS) and the automation Lexus CODRIVE.  TSS 2.0 initially became available in the 2020 RAV4 and 2020 Corolla and has since rolled out to more vehicles.  Both Lexus and Toyota use a feature called “Lane Tracing Assist” which allows the vehicle to center itself in a lane, but is not as robust as Tesla, Cadillac or BMW.",Autonomous Cars
